Player,Team,Draft Year,Yr1 Pos Rk,Yr1 Pos PPG Rk,Yr1 Pos Tm Rk,Yr1 G,Yr1 Opps,Yr1 YTMA/G,Yr1 PPR PPG,Yr1 Rec Dom,Yr1 PPR Pts,Yr1 Snap%,Yr1 Tgts,Yr1 Tgt%,Yr1 Rush Att,Yr1 Tm Rush Att%,Yr1 Tm Opp%,Yr1 EP,Yr1 Rush EP,Yr1 Rec EP,Yr1 Yds,Yr1 Tds,Yr1 Recs,Yr1 Rec Yds,Yr1 YAC,Draft Pick,Draft Year Age,BOA 15%,Total College Touches,Total College Yds,College Yd/G,Total College Dom,College YTMA Dom,Best College YTMA Conf Adj,Best College Adj YTMA,Avg College Adj YTMA,Best College Adj YTMA Over Conf,Avg College Adj YTMA Over Conf,Best College YTMPA,Avg College YTMPA,Best College YTMA,Ave College YTMA,Best College YTMA +/- Conf Avg,Avg College YTMA +/- Conf Avg,College Rush Dom,BMI,Fourty-Time,WaSS,Number of Top 5 Pos Finishes,Number of Top 12 Pos Finishes,Number of Top 24 Pos Finishes,Yr 2 PPG
Jonathan Williams,BUF,2016,109,126,4,11,30,0.14,1.49,0,16.4,0.12,2,0.01,27,0.07,0.04,28.4,25.8,2.6,94,1,1,0,2,156,22,19,414,2529,70.25,0.207985481,1.334080717,0.209735734,1.334080717,1.140681206,0.271894272,0.217932933,1.334080717,1.032086097,1.334080717,1.057865898,0.209735734,-0.066479086,0.415970962,30.68349365,4.56,101.7637977,0,0,0,0
Derek Watt,LAC,2016,116,139,7,16,6,0.09,0.79,0.018740122,12.7,0.13,4,0.01,2,0.01,0.01,6,0.7,5.3,4,0,4,83,62,198,23,,39,347,13.34615385,0.018078549,0.213457077,-0.103455675,0.541247744,0.452295077,-0.588650831,0,0.213457077,0.131285267,0.308326888,0.174008863,-0.103455675,-0.103455675,0.012740657,,,,0,0,0,0.49375
Byron Marshall,PHI,2016,122,98,5,3,24,0.38,3.47,0.002683843,10.4,0.34,5,0.05,19,0.19,0.12,17.3,9.7,7.6,64,0,3,10,13,329,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3.2
Brandon Wilds,NYJ,2016,133,125,5,4,12,0.19,1.68,0.005359057,6.7,0.13,2,0.01,10,0.08,0.05,8,5.2,2.8,27,0,2,20,23,329,23,22,438,2384,64.43243243,0.159560718,0.931668857,0.397822547,1.491020587,1.184483728,0.445422161,0.348542726,0.931668857,0.703019539,1.242225142,0.960518643,0.397822547,0.116116047,0.29060738,29.02523766,4.54,103.5688765,0,0,0,0
Dan Vitale,CLE,2016,133,143,5,9,5,0.05,0.74,0.007311129,6.7,0.13,5,0.02,0,0,0.01,8.9,0,8.9,0,0,4,27,0,197,22,21,139,1454,31.60869565,0.174278179,0.429966222,0.06437971,0.952324548,0.864795618,-0.177574027,0,0.4663626,0.403661643,0.476162274,0.436246155,0.06437971,-0.003768568,0.003242075,31.53196273,4.6,106.7570513,0,0,0,0.326666667
Daniel Lasco,NO,2016,134,129,5,5,15,0.13,1.26,0.002076255,6.3,0.06,4,0.02,11,0.08,0.04,11.7,6.2,5.4,32,0,2,11,13,237,23,21,386,2197,57.81578947,0.207025573,0.932443656,0.71935646,1.893264249,1.026232165,0.790626168,0.790626168,1.524352332,0.750335523,1.524352332,0.865138359,0.71935646,-0.156142103,0.379102179,27.57397577,4.46,105.6420565,0,0,0,0
Troymaine Pope,SEA,2016,135,127,6,4,14,0.23,1.48,0.001167406,5.9,0.11,2,0.02,12,0.1,0.06,9,6.2,2.7,44,0,1,5,2,329,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Tyler Ervin,HOU,2016,138,152,5,12,6,0.03,0.43,0.005266238,5.1,0.03,5,0.01,1,0,0.01,6.1,0.4,5.7,3,0,3,18,6,119,22,20,581,3460,101.7647059,0.360510924,2.135761589,1.111362298,2.504415011,1.669023987,1.469081185,1.087953819,2.135761589,1.301285859,2.135761589,1.357780141,1.111362298,0.386791606,0.615456929,27.5488816,4.41,101.5259043,0,0,0,3.25
J.D. McKissic,SEA,2016,143,89,3,1,3,0.34,3.80,0.003735699,3.8,0.11,2,0.05,1,0.04,0.05,4,0.8,3.2,2,0,2,16,13,329,,,,,,,,,,,,,,,,,,,,,,,0,0,1,7.484615385
D.J. Foster,NE,2016,144,130,4,3,9,0.13,1.20,0.000407997,3.6,0.07,2,0.02,7,0.07,0.04,7.1,4.3,2.8,24,0,1,2,5,329,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4.6
Don Jackson,GB,2016,145,133,6,3,11,0.15,1.07,0,3.2,0.13,1,0.01,10,0.16,0.06,6.4,5,1.4,32,0,0,0,0,329,23,20,547,2602,74.34285714,0.210682183,1.336416185,0.312016893,1.425433526,1.085509074,0.3900997,0.354166749,1.336416185,0.960309738,1.336416185,1.000103577,0.312016893,-0.024295714,0.370023549,,,,0,0,0,0
Glenn Gronkowski,BUF,2016,170,170,6,1,0,0.00,0.00,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,329,23,,30,420,18.26086957,0.045516198,0.189857374,0,0.39,0.359864169,-0.561256895,0,0.239506173,0.167748053,0.518930041,0.309627941,0,0,0.02835249,30.68550573,4.71,97.12796019,0,0,0,0
Joe Kerridge,GB,2016,170,170,7,6,1,0.00,0.00,0,0,0.05,0,0,1,0.01,0,0.5,0.5,0,0,0,0,0,0,329,23,,18,121,5.5,0.016835017,0.07295241,-0.190679343,0.130993012,0.088857161,-0.869518728,0,0.075370121,0.049942129,0.130993012,0.088857161,-0.190679343,-0.281045276,0.033670034,,,,0,0,0,1.3
Julian Howsare,NYJ,2016,170,170,7,2,0,0.00,0.00,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,329,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Lawrence Thomas,NYJ,2016,170,170,7,3,0,0.00,0.00,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,329,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.742857143
Brandon Burks,NYJ,2016,171,171,8,1,2,-0.07,-0.40,0,-0.4,0.06,0,0,2,0.07,0.03,4.6,4.6,0,-4,0,0,0,0,329,22,20,518,2926,73.15,0.350221537,1.68685567,0.757484678,2.078608247,1.50508542,1.101299837,0.527777009,1.68685567,1.194490208,1.68685567,1.223180577,0.757484678,-0.011985559,0.600174216,,,,0,0,0,0
David Johnson,ARI,2015,7,17,1,16,182,1.02,13.61,0.153050517,217.8,0.37,57,0.1,125,0.28,0.18,168.6,82.1,86.4,581,8,36,457,360,86,,,,,,,,,,,,,,,,,,,,,,,1,3,4,25.8625
Todd Gurley,LAR,2015,9,9,1,13,255,1.78,16.18,0.064738292,210.4,0.59,26,0.07,229,0.64,0.35,172.8,134.4,38.4,1106,10,21,188,212,10,21,18,563,3843,128.1,0.221350169,1.489139133,1.592938592,2.451091703,2.211538543,1.414237094,1.174683935,1.829476248,1.513137879,2.62568306,2.109507251,1.592938592,1.076762783,0.435371348,29.28910345,4.52,106.3724668,2,3,5,12.5125
Duke Johnson,CLE,2015,23,37,1,16,179,0.94,10.27,0.178954359,164.3,0.51,75,0.12,104,0.27,0.18,164.6,53,111.3,379,0,61,534,456,77,21,18,595,4238,128.4242424,0.37228469,2.546683047,1.629331224,3.063882064,2.412470507,2.070221181,1.418809625,2.546683047,1.797176501,2.546683047,2.093829886,1.629331224,1.176478064,0.622087907,30.56827895,4.54,97.44889742,0,1,2,9.1375
T.J. Yeldon,JAC,2015,27,18,1,12,228,1.37,12.99,0.076548602,155.9,0.77,46,0.1,182,0.64,0.31,173.5,103,70.6,740,2,36,279,298,36,21,18,622,3816,97.84615385,0.230588565,1.506174617,1.02823725,2.184403862,1.793687165,1.122397191,0.731680494,1.785894207,1.507774948,1.934718724,1.588830685,1.02823725,0.682349211,0.427632419,29.81683505,4.61,100.0771049,0,0,1,9.313333333
Javorius Allen,BAL,2015,28,51,2,16,199,0.68,9.36,0.12744718,149.7,0.35,62,0.09,137,0.36,0.19,170.3,81.7,88.4,514,1,45,353,277,125,24,22,474,2984,114.7692308,0.387405606,2.089055794,1.367534278,2.580472103,2.059722662,1.501497119,0.980747678,2.089055794,1.6193616,2.089055794,1.663579577,1.367534278,0.942058061,0.702602732,29.15717055,4.53,104.9613629,0,0,1,1.975
Jeremy Langford,CHI,2015,29,45,2,15,190,0.92,9.84,0.096295884,147.6,0.38,42,0.08,148,0.34,0.2,155.2,91.2,64.3,537,6,22,279,228,106,23,21,596,3101,114.8518519,0.308149558,1.617544709,0.632092053,1.804573805,1.699145541,0.804062065,0.698633802,1.641372141,1.617544709,1.641372141,1.617544709,0.632092053,0.479937104,0.592187311,27.44204287,4.42,108.9944171,0,0,0,6.433333333
Thomas Rawls,SEA,2015,36,43,2,13,158,1.14,9.97,0.034028813,129.6,0.33,11,0.03,147,0.36,0.2,97.9,82.1,15.8,830,4,9,76,76,329,22,21,277,1438,84.58823529,0.273016692,1.376294591,0.950145428,2.142564889,1.320806556,1.167099957,1.167099957,1.376294591,0.841700595,1.987981077,1.24351465,0.950145428,0.219956781,0.531266791,31.74966171,4.65,91.97221461,0,0,0,8.388888889
Karlos Williams,BUF,2015,37,31,2,11,107,0.93,11.48,0.063032821,126.3,0.33,14,0.05,93,0.26,0.16,78.4,53.4,25.1,517,7,11,96,40,155,22,21,270,1684,35.82978723,0.21891505,1.00952381,0.614912265,1.504938272,1.144520693,0.606970761,0.606970761,1.00952381,0.896813462,1.177777778,0.980940446,0.614912265,-0.07239529,0.38739349,30.34456664,4.48,114.1946547,0,0,0,0
Matt Jones,WAS,2015,41,49,1,13,169,0.99,9.42,0.087463127,122.4,0.39,25,0.06,144,0.41,0.21,119.1,83.6,35.6,490,3,19,304,164,95,22,21,296,1434,57.36,0.242587154,1.21037037,0.287659572,1.32040404,0.920276862,0.283549432,0.283549432,1.21037037,0.668177632,1.32040404,0.960765027,0.287659572,-0.071979442,0.485174308,29.65837583,4.61,102.2912001,0,0,0,11.32857143
Ameer Abdullah,DET,2015,43,63,2,16,181,0.79,7.56,0.056155324,121,0.33,38,0.06,143,0.41,0.19,125.1,71.9,53,597,2,25,183,203,54,22,19,885,5267,99.37735849,0.364818486,2.224852071,1.057386578,2.543195266,1.646441377,1.413296691,1.008278968,2.224852071,1.45813582,2.224852071,1.45813582,1.057386578,0.314519628,0.62081125,30.27293326,4.6,91.56985574,0,0,0,13.4
Melvin Gordon,LAC,2015,44,57,2,14,221,0.90,8.31,0.039546859,116.3,0.39,37,0.06,184,0.54,0.24,141.7,91.1,50.6,641,0,33,192,256,15,22,20,630,4970,115.5813953,0.380769419,2.997811816,1.451187311,3.165207877,1.900920738,2.035309302,1.351588045,2.997811816,1.827508027,2.997811816,1.84512205,1.451187311,0.454039075,0.624795322,28.36557316,4.52,103.01838,1,3,5,19.58461538
Tevin Coleman,ATL,2015,78,93,2,12,98,0.52,4.05,0.003274854,48.6,0.26,11,0.02,87,0.29,0.12,69.2,54.1,15.2,392,1,2,14,11,73,22,20,496,3553,107.6666667,0.318788207,2.604066986,1.338131864,2.772727273,1.673534585,1.772215533,1.389211359,2.604066986,1.378046105,2.604066986,1.521258747,1.338131864,0.616483629,0.596032514,28.73090769,4.4,109.922478,0,0,3,14.7
Jay Ajayi,MIA,2015,84,86,2,9,60,0.55,4.74,0.021639817,42.7,0.27,11,0.03,49,0.25,0.12,47.6,33.7,13.9,187,1,7,90,56,149,22,20,750,4553,119.8157895,0.421564326,2.346268657,1.007806516,2.878606965,1.861906294,1.795625558,1.304090838,2.346268657,1.567790281,2.346268657,1.609409481,1.007806516,0.479944781,0.700919072,29.15717055,4.57,101.3345327,0,1,1,14.48666667
Ty Montgomery,GB,2015,85,68,3,6,22,0.40,7.00,0.06781362,42,0.61,19,0.11,3,0.02,0.06,30.6,1.5,29.2,14,0,15,136,91,94,,,,,,,,,,,,,,,,,,,,,,,0,0,0,9.5
Cameron Artis-Payne,CAR,2015,92,80,3,7,50,0.54,5.01,0.014975471,35.1,0.25,5,0.02,45,0.21,0.12,32.8,26,6.8,183,1,5,58,61,174,25,,91,610,46.92307692,0.06626174,0.63081696,-0.227140133,0.679341341,0.679341341,-0.38266533,0,0.63081696,0.63081696,0.679341341,0.679341341,-0.227140133,-0.227140133,0.132523481,30.41855676,4.53,100.6869183,0,0,0,9.5
Terron Ward,ATL,2015,97,112,3,13,42,0.20,2.45,0.017076023,31.8,0.12,13,0.03,29,0.08,0.05,42,24.2,18,95,1,9,73,59,329,23,21,464,2507,55.71111111,0.270071103,1.111778846,0.697920775,1.664423077,0.997257576,0.561784997,0.289097268,1.111778846,0.706793172,1.334134615,0.792668397,0.697920775,0.156454557,0.505497728,,,,0,0,0,3.44
David Cobb,TEN,2015,111,100,4,7,54,0.36,3.06,-0.000519346,21.4,0.26,2,0.01,52,0.34,0.14,30.9,27.9,3,146,1,1,-2,3,138,22,20,586,3175,117.5925926,0.279145141,2.222084367,0.686626115,2.423076923,2.160130873,1.293178347,1.030232297,2.222084367,1.305410927,2.23325062,1.348884564,0.686626115,0.16048967,0.514364035,31.93872748,4.81,85.56283631,0,0,0,0
Akeem Hunt,HOU,2015,113,104,5,7,27,0.29,2.79,0.009535452,19.5,0.1,10,0.05,17,0.07,0.06,23.4,9.8,13.6,96,0,6,39,49,329,22,20,470,2872,62.43478261,0.276923746,1.5,0.368196189,1.853864734,1.169095282,0.723966159,0.574207705,1.5,0.874234162,1.5,0.910064374,0.368196189,-0.019738088,0.442458231,,,,0,0,0,2.1
Mike Davis,SF,2015,117,105,5,6,48,0.28,2.77,0.011166618,16.6,0.32,13,0.06,35,0.23,0.14,42.8,22.1,20.8,58,0,7,38,35,126,22,20,520,3160,85.40540541,0.256724213,1.584892417,0.842020657,2.304678692,1.496825393,1.267824084,1.031262989,1.730552424,1.16559217,1.874765126,1.222746173,0.842020657,0.190001704,0.43842493,32.0450074,4.61,96.09173346,0,1,1,2.357142857
Mike Burton,DET,2015,118,136,4,16,10,0.04,1.01,0.023890032,16.1,0.22,6,0.01,4,0.01,0.01,15.1,4.7,10.4,2,0,6,39,29,168,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Jarryd Hayne,SF,2015,122,120,6,7,24,0.19,1.99,0.007934176,13.9,0.14,7,0.03,17,0.09,0.06,19.5,10.2,9.4,52,0,6,27,22,329,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Josh Robinson,IND,2015,124,107,3,5,23,0.23,2.64,0.008358663,13.2,0.17,6,0.03,17,0.15,0.08,19.8,11.8,7.9,39,0,6,33,37,205,23,22,363,2482,65.31578947,0.226078208,1.600203459,0.693721985,1.976602238,1.047990645,0.914595567,0.914595567,1.600203459,0.870675957,1.600203459,0.881873978,0.693721985,-0.024607496,0.385328562,32.99443776,4.7,88.94024015,0,0,0,0
Zach Zenner,DET,2015,131,114,3,4,20,0.29,2.28,0.00246471,9.1,0.16,3,0.02,17,0.2,0.08,12.9,8.6,4.3,60,0,2,11,12,329,,,,,,,,,,,,,,,,,,,,,,,0,0,0,8.636363636
Marcus Murphy,NO,2015,138,147,7,13,1,0.00,0.46,0,6,0,0,0,1,0,0,0.5,0.5,0,0,0,0,0,0,230,24,23,376,2248,44.07843137,0.189533165,1.256637168,0.2238927,1.491150442,0.69870805,0.454295834,0.454295834,1.256637168,0.611259117,1.256637168,0.620290152,0.2238927,-0.283959901,0.32271259,29.23922334,4.61,87.67817154,0,0,0,0.65
Malcolm Johnson,CLE,2015,139,148,3,12,6,0.02,0.46,0.003622313,5.5,0.19,6,0.01,0,0,0.01,9.2,0,9.2,0,0,4,15,0,195,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.371428571
Joey Iosefa,NE,2015,140,109,6,2,15,0.40,2.55,0,5.1,0.19,0,0,15,0.31,0.13,7.1,7.1,0,51,0,0,0,0,231,24,20,572,2656,83,0.275214974,0.77,0,1.413602941,1.15224579,0.378269115,0.378269115,0.77,0.752217648,1.755339806,1.362435447,0.019429162,-1.11022E-16,0.547419511,32.58742591,5.02,77.78790593,0,0,0,0
Corey Grant,JAC,2015,144,144,6,6,9,0.04,0.58,0.002901138,3.5,0.04,3,0.01,6,0.04,0.02,6.9,2.6,4.3,2,0,2,13,15,329,23,,136,1103,40.85185185,0.069823994,0.581828317,-0.237401846,0.669079628,0.631719857,-0.392927043,0,0.669079628,0.581828317,0.669079628,0.581828317,-0.237401846,-0.324653157,0.11959431,,,,0,0,0,3.988888889
Tyler Varga,IND,2015,147,137,7,3,3,0.10,1.00,0.004559271,3,0.18,2,0.02,1,0.02,0.02,3.7,0.4,3.3,2,0,1,18,18,329,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Aaron Ripkowski,GB,2015,148,152,7,8,1,0.04,0.35,0.004705882,2.8,0.03,1,0,0,0,0,1.3,0,1.3,0,0,1,18,15,206,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3.106666667
Malcolm Brown,LAR,2015,149,110,4,1,5,0.27,2.50,-0.000688705,2.5,0.13,1,0.03,4,0.12,0.07,3.1,1.9,1.2,17,0,1,-2,3,329,22,20,662,2985,69.41860465,0.211636916,0.963903352,0.295312821,1.320408163,1.104561041,0.369151269,0.252698449,1.121428571,0.822830361,1.121428571,0.994977248,0.295312821,0.168861497,0.388905899,31.24137535,4.62,98.33545051,0,0,0,1.045454545
John Crockett,GB,2015,153,135,5,2,9,0.17,1.05,0,2.1,0.12,0,0,9,0.18,0.08,4.1,4.1,0,21,0,0,0,0,329,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Rod Smith,DAL,2015,153,154,5,7,4,0.03,0.30,0.001629107,2.1,0.05,2,0.01,2,0.01,0.01,3.6,0.9,2.7,5,0,1,6,5,329,23,,107,549,21.11538462,0.032096918,0.18387341,-0.362242253,0.361952862,0.301969192,-0.638558877,0,0.271464646,0.158662883,0.379371069,0.318038993,-0.344824046,-0.541591124,0.074298365,,,,0,0,0,0.35
Alonzo Harris,GB,2015,154,141,6,3,5,0.10,0.63,0,1.9,0.03,1,0.01,4,0.06,0.03,3.4,2,1.4,19,0,0,0,0,329,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Terrence Magee,BAL,2015,155,126,6,1,3,0.09,1.70,0.000452284,1.7,0.16,1,0.02,2,0.11,0.05,2.4,1,1.4,5,0,1,2,1,329,22,,215,1368,52.61538462,0.116204464,0.848,-0.00819576,1.043428571,0.935188526,-0.0185781,0,0.848,0.83747424,0.898285714,0.862617098,-0.00819576,-0.043864376,0.212224792,32.38624536,4.62,93.50647749,0,0,0,0.6
Trey Williams,IND,2015,157,134,6,1,2,0.19,1.20,0,1.2,0.03,0,0,2,0.06,0.03,0.9,0.9,0,12,0,0,0,0,329,22,21,232,1619,44.97222222,0.179475388,0.730769231,-0.114814807,0.916666667,0.720125429,-0.145340004,0,0.730769231,0.574119107,0.791666667,0.621229847,-0.114814807,-0.285251627,0.332909411,30.54104056,4.49,95.95757034,0,0,0,0
Brandon Wegher,CAR,2015,174,174,5,1,0,0.00,0.00,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,329,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Raheem Mostert,CLE,2015,174,174,4,8,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,23,,122,682,16.23809524,0.12661753,0.778985507,-0.673923376,1.002635046,0.526453393,-0.127263529,0,0.778985507,0.414628623,0.849802372,0.450037055,-0.673923376,-0.704783935,0.22744582,,,,0,0,0,0.6
Jeremy Hill,CIN,2014,10,18,2,16,254,1.35,13.43,0.060546325,214.9,0.47,32,0.06,222,0.45,0.26,178.9,133.9,45.2,1124,9,27,215,220,55,21,19,363,2337,106.2272727,0.297008468,2.089828269,1.163284944,2.523007486,1.825584203,1.474251734,0.776828451,2.089828269,1.478822181,2.263980625,1.696070772,1.163284944,0.595375092,0.566281722,30.74036534,4.56,107.777113,0,1,3,11.01875
Branden Oliver,LAC,2014,26,30,2,14,205,1.01,10.38,0.079137635,145.3,0.4,45,0.09,160,0.47,0.25,157.7,88.6,69,582,3,36,271,329,329,23,20,934,4679,114.1219512,0.396435232,2.036933892,1.068939935,2.572639225,1.807232769,1.633676672,1.24197414,2.130750605,1.375029065,2.130750605,1.610716457,1.068939935,0.548905787,0.74640755,,,,0,0,0,5
Andre Williams,NYG,2014,27,39,2,16,254,0.80,9.07,0.028882471,145.1,0.46,37,0.06,217,0.48,0.24,184.8,129.5,55,721,7,18,130,147,113,22,19,349,1562,52.06666667,0.271832408,0.723667906,0.144074028,0.964890541,0.825195047,0.060558558,0.060558558,0.723667906,0.663766744,0.964890541,0.825195047,0.144074028,0.004378534,0.543664816,32.0781979,4.56,106.3894248,0,0,0,2.2125
Tre Mason,LAR,2014,30,24,1,12,205,1.34,11.44,0.065054127,137.3,0.51,26,0.07,179,0.62,0.32,135.1,98.9,36.1,765,4,16,148,158,75,21,19,507,3067,80.71052632,0.270314909,2.046535677,0.945839997,2.215098242,2.023305751,1.16634249,0.97455,2.046535677,1.871941786,2.046535677,1.871941786,0.945839997,0.14726551,0.499862624,31.47395676,4.5,100.9602195,0,0,0,4.115384615
Isaiah Crowell,CLE,2014,33,43,1,15,162,0.84,8.43,0.024046434,126.4,0.39,14,0.03,148,0.33,0.18,96.4,77,19.4,607,8,9,87,63,329,,,,,,,,,,,,,,,,,,,,,,,0,0,1,8.6125
Terrance West,CLE,2014,41,44,2,14,184,0.95,8.19,0.059355998,114.7,0.42,13,0.03,171,0.41,0.21,121.3,99.6,21.5,673,4,11,64,56,94,,,,,,,,,,,,,,,,,,,,,,,0,0,1,3.65
Bishop Sankey,TEN,2014,44,64,1,16,175,0.81,6.26,0.035723879,100.2,0.37,23,0.05,152,0.43,0.2,111.7,79.8,31.8,569,2,18,133,148,54,21,19,705,4049,112.4722222,0.410765752,2.283613445,1.023294146,2.602941176,1.735196916,1.500303096,1.357325331,2.283613445,1.507497894,2.283613445,1.529472042,1.023294146,0.269152743,0.766575586,30.86362464,4.49,102.8468318,0,0,0,4.553846154
Alfred Blue,HOU,2014,46,67,2,16,187,0.62,6.07,0.059059922,97.1,0.3,18,0.04,169,0.31,0.18,115.6,89.9,25.6,528,2,15,113,75,181,23,,131,714,34,0.045993521,0.453104359,-0.647591322,0.453104359,0.453104359,-0.595651392,0,0.453104359,0.295143288,1.344827586,0.705027235,0.244131905,-0.395668446,0.098928006,28.63124593,4.63,97.05343136,0,0,0,8.121428571
Jerick McKinnon,MIN,2014,47,42,3,11,154,0.95,8.57,0.037396122,94.3,0.46,41,0.11,113,0.41,0.24,113.8,56.2,57.6,538,0,27,135,164,96,,,,,,,,,,,,,,,,,,,,,,,0,0,1,5.2125
Devonta Freeman,ATL,2014,48,71,3,16,102,0.47,5.58,0.06514592,89.3,0.22,37,0.06,65,0.17,0.1,86.2,35.1,51.3,248,1,30,225,157,103,22,19,451,2730,71.84210526,0.202970959,1.38990333,0.569086817,1.688506982,1.271874978,0.784174999,0.367542996,1.38990333,1.017780681,1.38990333,1.086413959,0.569086817,0.265597446,0.375970324,31.32190866,4.58,93.63437242,1,2,4,21.36
Carlos Hyde,SF,2014,60,73,2,14,99,0.48,5.44,0.019958908,76.1,0.32,16,0.04,83,0.21,0.12,76.2,52,24.2,333,4,12,68,60,57,23,21,515,3204,100.125,0.206132395,1.724922441,0.846378829,2.388831437,1.566641163,1.36987484,0.910307606,1.724922441,1.220539867,2.195355833,1.502149295,0.846378829,0.153172291,0.377917767,30.34456664,4.62,100.9694358,0,1,2,11.61428571
Lorenzo Taliaferro,BAL,2014,64,68,2,12,78,0.54,6.05,0.028578591,72.6,0.17,10,0.03,68,0.2,0.11,62.8,48,14.8,292,4,8,114,94,138,,,,,,,,,,,,,,,,,,,,,,,0,0,0,6.2
Charles Sims,TB,2014,72,51,1,8,93,0.85,7.81,0.052733833,62.5,0.46,27,0.11,66,0.36,0.21,70.7,32.4,38.4,185,1,19,190,170,69,23,18,795,5573,116.1041667,0.385636908,1.7,0.901219713,2.20656304,2.06915451,1.255306145,1.117897615,1.7,1.385607192,1.7,1.516164224,0.901219713,0.463241216,0.613832583,,,,0,0,1,11.5
Damien Williams,MIA,2014,73,92,4,15,64,0.35,4.02,0.068332645,60.3,0.15,28,0.05,36,0.1,0.07,62.4,18.7,43.7,122,0,22,201,143,329,22,20,333,1909,86.77272727,0.192177511,0.990153333,0.471029141,1.590772317,1.380346257,0.639515422,0.429089362,1.269809428,0.990153333,1.269809428,1.148041608,0.471029141,0.349261321,0.354593377,30.9624345,4.45,113.2251556,0,0,0,2.94375
Juwan Thompson,DEN,2014,80,95,4,14,61,0.32,3.69,0.00523122,51.7,0.12,7,0.01,54,0.14,0.07,44,34.3,9.7,272,3,4,25,21,329,22,19,320,1554,32.375,0.133008173,0.553239796,0.038400201,0.970449173,0.536135719,-0.023622427,0,0.755319149,0.427116953,0.755319149,0.446614381,0.038400201,-0.270304567,0.235418266,,,,0,0,0,1.9875
Silas Redd,WAS,2014,90,91,4,8,26,0.38,4.03,0.023985653,32.2,0.1,10,0.04,16,0.07,0.05,29.7,15.1,14.6,75,1,8,107,92,329,22,19,578,3072,71.44186047,0.18334587,0.925766761,0.304356908,1.46385902,1.150102926,0.384884036,0.370295567,1.434682081,0.89427651,1.434682081,1.069176417,0.304356908,-0.032468366,0.379879609,30.41855676,4.7,86.89092586,0,0,0,0
Ka'Deem Carey,CHI,2014,97,115,2,13,42,0.28,2.04,0.014126394,26.5,0.11,6,0.01,36,0.12,0.05,25.4,17,8.4,158,0,5,57,36,117,21,18,820,4918,136.6111111,0.343256984,2.081714506,1.185472308,2.423518164,1.94036604,1.34454318,1.324557603,2.133843212,1.621963287,2.198717949,1.699627363,1.185472308,0.686381722,0.625837421,30.56827895,4.69,85.56752497,0,0,0,4.85
Storm Johnson,JAC,2014,104,98,4,6,30,0.24,3.53,-0.001159084,21.2,0.16,1,0,29,0.21,0.09,21.2,19.4,1.8,86,2,1,-4,0,222,22,21,365,2025,63.28125,0.313327269,1.679471789,0.290728855,1.991596639,0.96844105,1.158837768,1.158837768,1.679471789,0.787251039,1.679471789,0.864399434,0.290728855,-0.111613829,0.533452808,27.57397577,4.6,93.35658463,0,0,0,0
Zurlon Tipton,IND,2014,107,32,2,2,16,0.64,10.30,0.025631202,20.6,0.35,6,0.08,10,0.25,0.14,19.3,5,14.3,18,0,6,68,72,329,24,21,511,2983,90.39393939,0.312965531,1.374117315,1.19390787,2.572670807,1.603666101,1.593833329,1.061003311,2.216149068,0.953778224,2.216149068,1.311012741,1.19390787,0.288771544,0.592377337,,,,0,0,0,1.814285714
Marion Grice,ARI,2014,108,105,5,7,27,0.17,2.86,0.00726817,20,0.2,11,0.04,15,0.09,0.06,32.8,14.9,16.4,41,1,7,29,41,201,23,21,385,2538,105.75,0.271850612,1.325323475,0.673529691,2.20198286,1.877133562,1.123007876,0.798158578,1.325323475,1.223067829,1.686775332,1.403793757,0.673529691,0.390548116,0.382364468,27.44204287,4.67,87.46328974,0,0,0,0
Orleans Darkwa,NYG,2014,112,97,4,5,15,0.21,3.62,0.010664297,18.1,0.12,6,0.03,9,0.06,0.05,11.8,3.5,8.3,23,1,5,48,41,329,22,18,732,3491,75.89130435,0.350307851,1.207555035,0.305791323,1.753142857,1.238554026,0.808192586,0.488353189,1.404571429,1.01022374,1.443428571,1.094157532,0.305791323,-0.043479716,0.736326208,,,,0,0,0,3.044444444
Darrin Reaves,CAR,2014,116,102,5,5,39,0.34,3.18,0.008547009,15.9,0.45,8,0.05,31,0.24,0.13,31.1,17.5,13.7,78,0,5,31,42,329,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
